Serial No.,States,No of Hotels
1,Andhra Pradesh,34000
2,Arunachal Pradesh,5000
3,Assam,25000
4,Bihar,4000
5,Chhattisgarh,25000
6,Goa,44000
7,Gujarat,107000
8,Haryana,48000
9,Himachal Pradesh,83000
10,Jharkhand,4000
11,Karnataka,40000
12,Kerala,672000
13,Madhya Pradesh,14000
14,Maharashtra,102000
15,Manipur,3000
16,Meghalaya,2000
17,Mizoram,1000
18,Nagaland,1000
19,Odisha,20000
20,Punjab,11000
21,Rajasthan,72000
22,Sikkim,12000
23,Tamil Nadu,116000
24,Telangana,34000
25,Tripura,1000
26,Uttar Pradesh,58000
27,Uttarakhand,50000
28,West Bengal,87000
